date,series_id,series_name,category,area_type,value,units,source
2024-01-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,276.698,index,BLS
2024-02-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,276.384,index,BLS
2024-03-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,278.233,index,BLS
2024-04-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,276.653,index,BLS
2024-05-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,277.584,index,BLS
2024-06-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,283.25,index,BLS
2024-07-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,283.415,index,BLS
2024-08-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,281.333,index,BLS
2024-09-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,282.522,index,BLS
2024-10-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,280.47,index,BLS
2024-11-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,275.801,index,BLS
2024-12-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,276.7,index,BLS
2025-01-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,281.888,index,BLS
2025-02-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,283.194,index,BLS
2025-03-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,285.983,index,BLS
2025-04-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,286.652,index,BLS
2025-05-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,290.055,index,BLS
2025-06-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,299.728,index,BLS
2025-07-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,299.107,index,BLS
2025-08-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,298.738,index,BLS
2025-09-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,296.887,index,BLS
2025-11-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,294.939,index,BLS
2025-12-01,CUUR0000SEHF01,CPI Electricity (CPI-U U.S. city avg NSA),energy_services,urban,295.121,index,BLS
2023-01-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,285.407,index,BLS
2023-02-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,258.976,index,BLS
2023-03-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,238.182,index,BLS
2023-04-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,226.062,index,BLS
2023-05-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,221.484,index,BLS
2023-06-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,219.272,index,BLS
2023-07-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,223.29,index,BLS
2023-08-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,224.539,index,BLS
2023-09-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,221.045,index,BLS
2023-10-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,222.955,index,BLS
2023-11-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,231.976,index,BLS
2023-12-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,230.862,index,BLS
